GemeenteCode,GemeenteNaam,BuurtCode,BuurtNaam
GM0826,Oosterhout,BU08260000,Centrum
GM0826,Oosterhout,BU08260100,Slotjes-Oost
GM0826,Oosterhout,BU08260101,Slotjes-Midden
GM0826,Oosterhout,BU08260102,Slotjes-West
GM0826,Oosterhout,BU08260200,Oud-West
GM0826,Oosterhout,BU08260201,Kanaleneiland
GM0826,Oosterhout,BU08260300,Vogelbuurt
GM0826,Oosterhout,BU08260301,Kastelenbuurt
GM0826,Oosterhout,BU08260400,Leijsenakkers
GM0826,Oosterhout,BU08260401,Molenbuurt
GM0826,Oosterhout,BU08260500,Bloemenbuurt
GM0826,Oosterhout,BU08260501,Schrijversbuurt
GM0826,Oosterhout,BU08260502,Natuurkundigenbuurt
GM0826,Oosterhout,BU08260503,Componistenbuurt
GM0826,Oosterhout,BU08260504,De Warande
GM0826,Oosterhout,BU08260505,Paterserf
GM0826,Oosterhout,BU08260600,Kruidenbuurt
GM0826,Oosterhout,BU08260601,Sterrenbuurt
GM0826,Oosterhout,BU08260602,Donkenbuurt
GM0826,Oosterhout,BU08260603,Larenbuurt
GM0826,Oosterhout,BU08260604,Beemdenbuurt
GM0826,Oosterhout,BU08260605,Schildersbuurt
GM0826,Oosterhout,BU08260606,Dammenbuurt
GM0826,Oosterhout,BU08260607,Staatsliedenbuurt
GM0826,Oosterhout,BU08260700,Vrachelen-Zuidoost
GM0826,Oosterhout,BU08260701,Vrachelen-Noord
GM0826,Oosterhout,BU08260702,Vrachelen-Zuidwest
GM0826,Oosterhout,BU08260703,Vrachelen-Noordwest
GM0826,Oosterhout,BU08260800,Industrieterrein Vijf Eiken
GM0826,Oosterhout,BU08260801,Industrieterrein Heikant
GM0826,Oosterhout,BU08260900,Industrieterrein Statendam
GM0826,Oosterhout,BU08260901,Industrieterrein Weststad-Zuid
GM0826,Oosterhout,BU08260902,Industrieterrein Weststad-Noord
GM0826,Oosterhout,BU08261001,Bosgebied-Oosterhout
GM0826,Oosterhout,BU08261100,Den Hout
GM0826,Oosterhout,BU08261109,Buitengebied Den Hout
GM0826,Oosterhout,BU08261200,Oosteind
GM0826,Oosterhout,BU08261208,Buitengebied-Oosteind-Zuid
GM0826,Oosterhout,BU08261209,Willemspolder
GM0826,Oosterhout,BU08261300,Dorst
GM0826,Oosterhout,BU08261307,Buitengebied Dorst-Zuid
GM0826,Oosterhout,BU08261308,Bosgebied Dorst
GM0826,Oosterhout,BU08261309,Steenoven
