BuurtNaam,BuurtCode,DrankGebruik,Overgewicht,Roker,LangdurigeZiekteAandoening,HoogRisicoDepressie,GoedErvarenGezondheid,VoldoenBeweegrichtlijnen,MantelzorgGeven
Centrum,BU08260000,42,15,21,37,7,68,41,15
Slotjes-Oost,BU08260100,42,18,22,37,7,69,45,17
Slotjes-Midden,BU08260101,45,17,27,34,10,70,45,14
Slotjes-West,BU08260102,37,13,17,33,5,75,46,18
Oud-West,BU08260200,34,14,18,31,5,77,48,17
Kanaleneiland,BU08260201,35,14,17,31,5,77,48,18
Vogelbuurt,BU08260300,39,16,22,33,7,74,48,17
Kastelenbuurt,BU08260301,40,16,23,35,7,72,45,17
Leijsenakkers,BU08260400,37,14,17,32,5,76,49,19
Molenbuurt,BU08260401,37,15,18,34,5,76,49,20
Bloemenbuurt,BU08260500,52,18,24,37,10,67,44,15
Schrijversbuurt,BU08260501,56,20,25,39,12,63,44,15
Natuurkundigenbuurt,BU08260502,46,17,22,34,9,71,47,15
Componistenbuurt,BU08260503,40,15,17,33,5,74,46,17
De Warande,BU08260504,35,10,12,29,3,80,49,19
Paterserf,BU08260505,61,19,20,46,11,56,34,14
Kruidenbuurt,BU08260600,35,14,17,30,4,79,51,19
Sterrenbuurt,BU08260601,40,19,25,36,7,72,46,17
Donkenbuurt,BU08260602,40,17,24,35,8,72,47,17
Larenbuurt,BU08260603,39,17,23,33,7,74,49,17
Beemdenbuurt,BU08260604,38,17,25,33,8,73,48,17
Schildersbuurt,BU08260605,35,15,19,30,5,79,51,19
Dammenbuurt,BU08260606,38,17,23,33,7,74,47,17
Staatsliedenbuurt,BU08260607,36,15,18,32,5,77,48,19
Vrachelen-Zuidoost,BU08260700,33,14,17,30,5,77,48,18
Vrachelen-Noord,BU08260701,35,15,18,30,5,77,46,17
Vrachelen-Zuidwest,BU08260702,34,14,14,29,4,79,48,18
Vrachelen-Noordwest,BU08260703,33,11,20,23,6,83,49,11
Industrieterrein Vijf Eiken,BU08260800,35,16,21,29,6,77,50,15
Industrieterrein Heikant,BU08260801,,,,,,,,
Industrieterrein Statendam,BU08260900,32,13,21,27,5,79,51,14
Industrieterrein Weststad-Zuid,BU08260901,,,,,,,,
Industrieterrein Weststad-Noord,BU08260902,,,,,,,,
Bosgebied-Oosterhout,BU08261001,37,11,14,29,3,80,43,20
Den Hout,BU08261100,32,13,15,26,3,80,44,19
Buitengebied Den Hout,BU08261109,32,10,14,24,4,81,50,17
Oosteind,BU08261200,37,14,15,27,4,79,46,18
Buitengebied-Oosteind-Zuid,BU08261208,34,13,17,29,4,77,49,19
Willemspolder,BU08261209,35,13,20,29,5,78,46,19
Dorst,BU08261300,34,14,16,30,5,75,49,17
Buitengebied Dorst-Zuid,BU08261307,30,12,17,26,5,79,50,16
Bosgebied Dorst,BU08261308,35,19,25,36,7,68,42,17
Steenoven,BU08261309,37,12,15,28,5,78,46,18
